cpd19172	C15973	M00032 
cpd00041	C00049	M00033 
cpd00346	C00441	M00033 
cpd01977	C03082	M00033 
cpd02095	C03283	M00033 
cpd03727	C06231	M00033 
cpd03862	C06442	M00033 
cpd00017	C00019	M00034 
cpd00060	C00073	M00034 
cpd00147	C00170	M00034 
cpd00837	C01137	M00034 
cpd00869	C01180	M00034 
cpd01981	C03089	M00034 
cpd02574	C04188	M00034 
cpd02791	C04582	M00034 
cpd11255	C15606	M00034 
cpd11295	C15650	M00034 
cpd11296	C15651	M00034 
cpd00017	C00019	M00035 
cpd00019	C00021	M00035 
cpd00054	C00065	M00035 
cpd00060	C00073	M00035 
cpd00135	C00155	M00035 
cpd19019	C02291	M00035 
cpd00107	C00123	M00036 
cpd00142	C00164	M00036 
cpd00200	C00233	M00036 
cpd00292	C00356	M00036 
cpd01882	C02939	M00036 
cpd01966	C03069	M00036 
cpd02068	C03231	M00036 
cpd14699	C15975	M00036 
cpd19171	C15972	M00036 
cpd19172	C15973	M00036 
cpd00065	C00078	M00037 
cpd00490	C00643	M00037 
cpd00579	C00780	M00037 
cpd00721	C00978	M00037 
cpd01124	C01598	M00037 
cpd00065	C00078	M00038 
cpd00275	C00328	M00038 
cpd00483	C00632	M00038 
cpd01496	C02220	M00038 
cpd01749	C02700	M00038 
cpd02065	C03227	M00038 
cpd02385	C03824	M00038 
cpd02692	C04409	M00038 
cpd00066	C00079	M00039 
cpd00069	C00082	M00039 
cpd00192	C00223	M00039 
cpd00270	C00323	M00039 
cpd00321	C00406	M00039 
cpd00333	C00423	M00039 
cpd00458	C00590	M00039 
cpd00604	C00811	M00039 
cpd01554	C02325	M00039 
cpd01722	C02646	M00039 
cpd01733	C02666	M00039 
cpd01890	C02947	M00039 
cpd03332	C05608	M00039 
cpd03333	C05610	M00039 
cpd07322	C10434	M00039 
cpd08984	C12204	M00039 
cpd00069	C00082	M00040 
cpd00216	C00251	M00040 
cpd00219	C00254	M00040 
cpd00616	C00826	M00040 
cpd00069	C00082	M00042 
cpd00291	C00355	M00042 
cpd00429	C00547	M00042 
cpd00583	C00788	M00042 
cpd02357	C03758	M00042 
cpd00069	C00082	M00043 
cpd00779	C01060	M00043 
cpd01259	C01829	M00043 
cpd01621	C02465	M00043 
cpd01654	C02515	M00043 
cpd00069	C00082	M00044 
cpd00106	C00122	M00044 
cpd00142	C00164	M00044 
cpd00426	C00544	M00044 
cpd00763	C01036	M00044 
cpd00780	C01061	M00044 
cpd00868	C01179	M00044 
cpd00023	C00025	M00045 
cpd00119	C00135	M00045 
cpd00344	C00439	M00045 
cpd00581	C00785	M00045 
cpd00770	C01045	M00045 
cpd02311	C03680	M00045 
cpd00085	C00099	M00046 
cpd00092	C00106	M00046 
cpd00151	C00178	M00046 
cpd00337	C00429	M00046 
cpd00886	C01205	M00046 
cpd01720	C02642	M00046 
cpd00051	C00062	M00047 
cpd00250	C00300	M00047 
cpd00451	C00581	M00047 
cpd00585	C00791	M00047 
cpd01550	C02305	M00047 
cpd00053	C00064	M00048 
cpd00103	C00119	M00048 
cpd00114	C00130	M00048 
cpd01982	C03090	M00048 
cpd02140	C03373	M00048 
cpd02394	C03838	M00048 
cpd02678	C04376	M00048 
cpd02826	C04640	M00048 
cpd02851	C04677	M00048 
cpd02884	C04734	M00048 
cpd02893	C04751	M00048 
cpd02921	C04823	M00048 
cpd11310	C15667	M00048 
cpd19032	C04823	M00048 
cpd00002	C00002	M00049 
cpd00008	C00008	M00049 
cpd00018	C00020	M00049 
cpd00114	C00130	M00049 
cpd02375	C03794	M00049 
cpd00031	C00035	M00050 
cpd00038	C00044	M00050 
cpd00114	C00130	M00050 
cpd00126	C00144	M00050 
cpd00497	C00655	M00050 
cpd00053	C00064	M00051 
cpd00091	C00105	M00051 
cpd00103	C00119	M00051 
cpd00146	C00169	M00051 
cpd00247	C00295	M00051 
cpd00282	C00337	M00051 
cpd00343	C00438	M00051 
cpd00810	C01103	M00051 
cpd00014	C00015	M00052 
cpd00052	C00063	M00052 
cpd00062	C00075	M00052 
cpd00091	C00105	M00052 
cpd00096	C00112	M00052 
cpd00008	C00008	M00053 
cpd00014	C00015	M00053 
cpd00031	C00035	M00053 
cpd00096	C00112	M00053 
cpd00115	C00131	M00053 
cpd00177	C00206	M00053 
cpd00241	C00286	M00053 
cpd00295	C00361	M00053 
cpd00356	C00458	M00053 
cpd00358	C00460	M00053 
cpd00533	C00705	M00053 
cpd00978	C01346	M00053 
cpd11619	C00110	M00055 
cpd11831	C01246	M00055 
cpd12044	C02189	M00056 
cpd12044	C02189	M00057 
cpd12044	C02189	M00058 
cpd12044	C02189	M00059 
cpd00037	C00043	M00060 
cpd02835	C04652	M00060 
cpd02886	C04738	M00060 
cpd02930	C04824	M00060 
