"assignment","cluster","id","microbetag::cluster","name","selected","shared name","value"
"strong","0.0","FJ558236.1.1295","0","FJ558236.1.1295","false","FJ558236.1.1295","FJ558236.1.1295"
"strong","1.0","JQ467284.1.1371","1","JQ467284.1.1371","false","JQ467284.1.1371","JQ467284.1.1371"
"strong","1.0","JQ452699.1.1403","1","JQ452699.1.1403","false","JQ452699.1.1403","JQ452699.1.1403"
"strong","0.0","JQ452619.1.1399","0","JQ452619.1.1399","false","JQ452619.1.1399","JQ452619.1.1399"
"strong","0.0","HM312807.1.1359","0","HM312807.1.1359","false","HM312807.1.1359","HM312807.1.1359"
"strong","0.0","FJ982979.1.1549","0","FJ982979.1.1549","false","FJ982979.1.1549","FJ982979.1.1549"
"strong","1.0","GU000401.1.1202","1","GU000401.1.1202","false","GU000401.1.1202","GU000401.1.1202"
"strong","1.0","JQ451947.1.1228","1","JQ451947.1.1228","false","JQ451947.1.1228","JQ451947.1.1228"
"strong","0.0","JQ477259.1.1405","0","JQ477259.1.1405","false","JQ477259.1.1405","JQ477259.1.1405"
"strong","1.0","HQ757500.1.1466","1","HQ757500.1.1466","false","HQ757500.1.1466","HQ757500.1.1466"
"strong","1.0","HQ785433.1.1445","1","HQ785433.1.1445","false","HQ785433.1.1445","HQ785433.1.1445"
"strong","1.0","EU764976.1.1376","1","EU764976.1.1376","false","EU764976.1.1376","EU764976.1.1376"
"strong","1.0","DQ799322.1.1402","1","DQ799322.1.1402","false","DQ799322.1.1402","DQ799322.1.1402"
"strong","1.0","GU086173.1.1311","1","GU086173.1.1311","false","GU086173.1.1311","GU086173.1.1311"
"strong","0.0","JF223997.1.1388","0","JF223997.1.1388","false","JF223997.1.1388","JF223997.1.1388"
"strong","0.0","JQ454583.1.1399","0","JQ454583.1.1399","false","JQ454583.1.1399","JQ454583.1.1399"
"strong","1.0","HG799952.1.1818","1","HG799952.1.1818","false","HG799952.1.1818","HG799952.1.1818"
"strong","1.0","EF532910.1.1588","1","EF532910.1.1588","false","EF532910.1.1588","EF532910.1.1588"
"strong","1.0","HQ850580.1.1385","1","HQ850580.1.1385","false","HQ850580.1.1385","HQ850580.1.1385"
"strong","1.0","HQ818990.1.1410","1","HQ818990.1.1410","false","HQ818990.1.1410","HQ818990.1.1410"
"strong","1.0","JX171198.1.1438","1","JX171198.1.1438","false","JX171198.1.1438","JX171198.1.1438"
"strong","0.0","JQ451876.1.1374","0","JQ451876.1.1374","false","JQ451876.1.1374","JQ451876.1.1374"
"strong","0.0","JQ476405.1.1385","0","JQ476405.1.1385","false","JQ476405.1.1385","JQ476405.1.1385"
"strong","0.0","JQ467792.1.1376","0","JQ467792.1.1376","false","JQ467792.1.1376","JQ467792.1.1376"
"strong","0.0","JF131342.1.1354","0","JF131342.1.1354","false","JF131342.1.1354","JF131342.1.1354"
"strong","1.0","KC290794.1.1494","1","KC290794.1.1494","false","KC290794.1.1494","KC290794.1.1494"
"strong","0.0","JQ468513.1.1420","0","JQ468513.1.1420","false","JQ468513.1.1420","JQ468513.1.1420"
"strong","1.0","JQ472043.1.1400","1","JQ472043.1.1400","false","JQ472043.1.1400","JQ472043.1.1400"
"strong","0.0","JQ451186.1.1401","0","JQ451186.1.1401","false","JQ451186.1.1401","JQ451186.1.1401"
"strong","1.0","JQ456821.1.1379","1","JQ456821.1.1379","false","JQ456821.1.1379","JQ456821.1.1379"
"strong","1.0","JF139977.1.1370","1","JF139977.1.1370","false","JF139977.1.1370","JF139977.1.1370"
"strong","0.0","AF061347.1.1502","0","AF061347.1.1502","false","AF061347.1.1502","AF061347.1.1502"
