Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;,1763
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;,2053
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;,1817
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;,1827
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Skermania;,59613
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Smaragdicoccus;,613121
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia;,85043
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Tsukamurellaceae;Tsukamurella;,2060
Bacteria;Actinobacteriota;Actinobacteria;Euzebyales;Euzebyaceae;Egibacter;,1747770
Bacteria;Actinobacteriota;Actinobacteria;Euzebyales;Euzebyaceae;Euzebya;,908623
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;,28048
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Cryptosporangiaceae;Cryptosporangium;,65502
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Cryptosporangiaceae;Fodinicola;,435913
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Frankia;,1854
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;,1434010
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Antricoccus;,1920251
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;,38501
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;,1860
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Klenkia;,2183612
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;,88138
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;,53460
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Candidatus Planktophila;,622681
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Longivirga;,2083192
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;,35750
Bacteria;Actinobacteriota;Actinobacteria;Glycomycetales;Glycomycetaceae;Glycomyces;,58113
Bacteria;Actinobacteriota;Actinobacteria;Glycomycetales;Glycomycetaceae;Salilacibacter;,1840198
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;,908626
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;,33981
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;,49184
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Pseudokineococcus;,1156392
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;,317661
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Beutenbergiaceae;Miniimonas;,947525
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Beutenbergiaceae;Salana;,120376
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Beutenbergiaceae;Serinibacter;,690565
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Bogoriellaceae;Bogoriella;,56054
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia;,154116
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;,1696
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Spelaeicoccus;,1649497
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea;,458839
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;,1707
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Oerskovia;,162491
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Paraoerskovia;,665568
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Pseudactinotalea;,1926259
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Tropheryma;,2038
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae;Demequina;,577469
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae;Lysinimicrobium;,577469
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium;,43668
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Dermabacter;,36739
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Helcobacillus;,1161125
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Allobranchiibius;,2040262
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Branchiibius;,908251
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Calidifontibacter;,1158982
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Demetria;,63958
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Dermacoccus;,57495
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Flexivirga;,1096776
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Kytococcus;,57499
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;Dermatophilus;,1862
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;Kineosphaera;,211469
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;Mobilicoccus;,984996
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;Piscicoccus;,985001
