assignment,cluster,id,name,selected,shared name,taxonomy,value
strong,0,JQ452508.1.1385,unclassified_Porphyromonas,false,unclassified_Porphyromonas,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;unclassified_Porphyromonas,JQ452508.1.1385
strong,1,JQ463941.1.1379,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,JQ463941.1.1379
strong,1,AF366269.1.1534,unclassified_Prevotella,false,unclassified_Prevotella,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;unclassified_Prevotella,AF366269.1.1534
strong,0,JQ447690.1.1420,Selenomonas_sputigena,false,Selenomonas_sputigena,Root;Bacteria;Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas_sputigena,JQ447690.1.1420
strong,1,EU236222.1.1374,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,EU236222.1.1374
strong,1,DQ824105.1.1398,unclassified_Phocaeicola,false,unclassified_Phocaeicola,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;unclassified_Phocaeicola,DQ824105.1.1398
strong,0,JQ461335.1.1385,unclassified_Haemophilus_D,false,unclassified_Haemophilus_D,Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Haemophilus_D;unclassified_Haemophilus_D,JQ461335.1.1385
strong,1,JQ467884.1.1404,Prevotella_oulorum,false,Prevotella_oulorum,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella_oulorum,JQ467884.1.1404
strong,1,JQ453474.1.1347,unclassified_Haemophilus_D,false,unclassified_Haemophilus_D,Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Haemophilus_D;unclassified_Haemophilus_D,JQ453474.1.1347
strong,1,AF287780.1.1494,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,AF287780.1.1494
strong,0,JF134055.1.1368,unclassified_Streptococcus,false,unclassified_Streptococcus,Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;unclassified_Streptococcus,JF134055.1.1368
strong,0,AJ010963.1.1494,unclassified_Centipeda,false,unclassified_Centipeda,Root;Bacteria;Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Centipeda;unclassified_Centipeda,AJ010963.1.1494
strong,1,GQ338720.1.1529,unclassified_Anaeroglobus,false,unclassified_Anaeroglobus,Root;Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;Anaeroglobus;unclassified_Anaeroglobus,GQ338720.1.1529
strong,1,JQ475259.1.1382,unclassified_Fusobacterium,false,unclassified_Fusobacterium,Root;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;unclassified_Fusobacterium,JQ475259.1.1382
strong,1,HQ762278.1.1450,Porphyromonas_gingivalis,false,Porphyromonas_gingivalis,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas_gingivalis,HQ762278.1.1450
strong,1,AJZS01000099.7315.8789,Porphyromonas_gingivalis,false,Porphyromonas_gingivalis,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas_gingivalis,AJZS01000099.7315.8789
strong,1,DQ797298.1.1291,unclassified_Faecalibacterium,false,unclassified_Faecalibacterium,Root;Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;unclassified_Faecalibacterium,DQ797298.1.1291
strong,0,JQ465148.1.1398,Prevotella_oris,false,Prevotella_oris,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella_oris,JQ465148.1.1398
strong,1,HE681352.1.1518,F0428_sp003043955,false,F0428_sp003043955,Root;Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;F0428;F0428_sp003043955,HE681352.1.1518
strong,1,KF312691.1.1439,unclassified_Limosilactobacillus,false,unclassified_Limosilactobacillus,Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;unclassified_Limosilactobacillus,KF312691.1.1439
strong,1,AY349409.1.1549,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,AY349409.1.1549
strong,1,AM980448.1.1422,unclassified_Treponema,false,unclassified_Treponema,Root;Bacteria;Spirochaetota;Spirochaetia;Treponematales;Treponemataceae;Treponema;unclassified_Treponema,AM980448.1.1422
strong,1,AM420251.1.1246,Prevotella_fusca,false,Prevotella_fusca,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella_fusca,AM420251.1.1246
strong,1,EF517956.1.1666,unclassified_Acinetobacter,false,unclassified_Acinetobacter,Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;unclassified_Acinetobacter,EF517956.1.1666
strong,0,JQ475515.1.1389,Leptotrichia_sp013394795,false,Leptotrichia_sp013394795,Root;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia_sp013394795,JQ475515.1.1389
strong,0,JQ462618.1.1403,Prevotella_nigrescens,false,Prevotella_nigrescens,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella_nigrescens,JQ462618.1.1403
